lower,upper,cp,gap,assist_09_count,assist_09_auc_gain,assist_09_bacc_gain,assist_17_count,assist_17_auc_gain,assist_17_bacc_gain,junyi_count,junyi_auc_gain,junyi_bacc_gain,auc_wins,bacc_wins,auc_total_gain,bacc_total_gain,weighted_score
0.58,0.85,0.55,-0.25,102,0.051692447960755436,0.04207486419547784,47,0.0170568866707516,-0.004599303343635376,247,0.012398988017876478,0.014774184752933545,3,2,0.08114832264938351,0.05224974560477601,0.14174600904123763
0.58,0.82,0.6,-0.35,79,0.03399120653355605,0.03546379302282282,28,0.01811162588202437,-4.85722573273506e-17,131,0.01858413986058525,0.014585519619886772,3,2,0.07068697227616566,0.050049312642709544,0.1349085131095928
0.58,0.82,0.6,-0.3,79,0.03399120653355605,0.03546379302282282,28,0.01811162588202437,-4.85722573273506e-17,131,0.01858413986058525,0.014585519619886772,3,2,0.07068697227616566,0.050049312642709544,0.1349085131095928
0.58,0.82,0.6,-0.25,79,0.03399120653355605,0.03546379302282282,28,0.01811162588202437,-4.85722573273506e-17,131,0.01858413986058525,0.014585519619886772,3,2,0.07068697227616566,0.050049312642709544,0.1349085131095928
0.58,0.78,0.55,-0.35,68,0.051954130455567016,0.041838588303152804,18,0.004102496403221072,-0.0015407700190308501,122,0.01700846595053749,0.013006130095473849,3,2,0.07306509280932558,0.0533039483795958,0.13084987672045872
0.58,0.78,0.55,-0.3,68,0.051954130455567016,0.041838588303152804,18,0.004102496403221072,-0.0015407700190308501,122,0.01700846595053749,0.013006130095473849,3,2,0.07306509280932558,0.0533039483795958,0.13084987672045872
0.58,0.78,0.55,-0.25,68,0.051954130455567016,0.041838588303152804,18,0.004102496403221072,-0.0015407700190308501,122,0.01700846595053749,0.013006130095473849,3,2,0.07306509280932558,0.0533039483795958,0.13084987672045872
0.58,0.82,0.5,-0.25,100,0.053223304010803975,0.0460846715013382,49,0.004346861788017201,-0.004503030548900916,238,0.01901525208574087,0.008821291754802105,3,2,0.07658541788456205,0.05040293270723939,0.13031612546959306
0.65,0.8,0.55,-0.35,58,0.04875005878424199,0.033484613865265786,28,0.012602023865916447,-4.85722573273506e-17,129,0.020213671172232918,0.002440573278277569,3,2,0.08156575382239135,0.035925187143543307,0.1276899803676117
0.65,0.8,0.55,-0.3,58,0.04875005878424199,0.033484613865265786,28,0.012602023865916447,-4.85722573273506e-17,129,0.020213671172232918,0.002440573278277569,3,2,0.08156575382239135,0.035925187143543307,0.1276899803676117
0.65,0.8,0.55,-0.25,58,0.04875005878424199,0.033484613865265786,28,0.012602023865916447,-4.85722573273506e-17,129,0.020213671172232918,0.002440573278277569,3,2,0.08156575382239135,0.035925187143543307,0.1276899803676117
0.62,0.78,0.55,-0.35,55,0.032114223821007044,0.037015382672934534,18,0.004102496403221072,-0.0015407700190308501,110,0.027405471275994728,0.01462758621849531,3,2,0.06362219150022284,0.050102198872398994,0.12469266091753572
0.62,0.78,0.55,-0.3,55,0.032114223821007044,0.037015382672934534,18,0.004102496403221072,-0.0015407700190308501,110,0.027405471275994728,0.01462758621849531,3,2,0.06362219150022284,0.050102198872398994,0.12469266091753572
0.62,0.78,0.55,-0.25,55,0.032114223821007044,0.037015382672934534,18,0.004102496403221072,-0.0015407700190308501,110,0.027405471275994728,0.01462758621849531,3,2,0.06362219150022284,0.050102198872398994,0.12469266091753572
0.65,0.8,0.5,-0.25,65,0.050138539751512015,0.03149403827627375,36,0.01361236739868181,-0.004600307878388034,171,0.018619055763143273,0.0040691723604920765,3,2,0.08236996291333709,0.03096290275837779,0.1230435424937935
0.6,0.8,0.5,-0.35,87,0.04015810204387735,0.03691592109725888,39,0.008616472150549281,-0.002130470681275462,202,0.02099675092450875,0.00944673473549814,3,2,0.06977132511893538,0.04423218515148156,0.12289019039933871
0.6,0.8,0.5,-0.3,87,0.04015810204387735,0.03691592109725888,39,0.008616472150549281,-0.002130470681275462,202,0.02099675092450875,0.00944673473549814,3,2,0.06977132511893538,0.04423218515148156,0.12289019039933871
0.6,0.85,0.55,-0.25,95,0.04486228415209034,0.026934641041671384,47,0.0170568866707516,-0.004599303343635376,239,0.014897761120441805,0.011239662775774296,3,2,0.07681693194328375,0.033575000473810304,0.12231039999078425
